و,o
مخصوص,maxsus
اتحاد,ettehɒːd
استقبال,esteɢbɒːl
باره,bɑːɾa
ظهور,zohuːɾ
مسعود,mæsʔuːd
پزشک,pezeʃk
سکه,sekːe
عمو,amu
مستقل,mostæɢell
کنسرت,konseɾt
یزد,jazd
صرف,seɾf
صورتی,suːɾætʰiː
فروردین,fæɾvæɾd̪iːn
هرچه,haɾt͡ʃi
پیامبر,pajɑːmbaɾ
تدریس,tadɾis
روزها,ɾoːzhɑː
سهم,sahm
متوسط,motævæsset
کله,kællæ
رم,ɾom
فضا,fazɑː~fizɑː
قزوین,qazvin
اردیبهشت,oɾdiːbeheʃt
بیمه,bima
تبریک,tabɾik
تمرین,tamɾin
زرد,zaɾd
عقل,aql
لو,low
مشاور,moʃɒːveɾ
ویدیو,viːdiːjo
پاییز,pɑːjiːz
کفش,kæfʃ
خدای,xodɒːj
سلاح,selɒːh
اشکال,aʃkɑːl
خشونت,xoʃuːnæt
روبرو,ɾoːbaɾoː
لایه,lɒːje
لوله,luːle
فوت,favt
پرچم,paɾt͡ʃam
اظهار,ezhɒːɾ
انقلابی,enɢelɒːbiː
ته,tah
خرداد,xoɾd̪ɒːd̪
فرمان,faɾmɑːn
دیدگاه,didɡɔːh
رشت,roʃt
برجسته,baɾd͡ʒasta
مبتلا,mobtælɒː
نده,anda
انفجار,enfed͡ʒɒːɾ
بازدید,bɑːzdiːd
جبران,d͡ʒobɾɒːn
ره,ræh
غرق,ɣæɾɣ
نمک,nemek
وصل,vasl
کنگره,konɡre
فضایی,fazɑːjiː
مه,ma
وحشی,vahʃiː
اتصال,ettesɒːl
حقیقی,haqiqiː
شگفت,ʃeɡeft
مناسبت,monɒːsebæt
تقویت,taqvijat
دراز,daɾɑːz
مراقب,moɾɒːɢeb
نان,nuːn
نقره,noɢɾe
پیر,pijæɾ
بخور,boxuːɾ
ضعف,zaʔf
محبوب,mahbub
مک,mæk
گاو,ɡoʊ
گلی,ɡoliː
حداکثر,haddiaksaɾ
روزگار,ɾoːzɡɑːɾ~ɾoːziɡɑːɾ
روستا,ɾoːstɑː
رکورد,ɾekowɾd
جدایی,d͡ʒodɒːjiː
رودخانه,ɾoːdxɑːna
معادل,moʔɒːdel
بندر,bandaɾ
زحمت,zahmat
کون,kʰun
ایام,ʔæjjɒːm
دام,dɑːm
شوخی,ʃoːxiː
ن,n
رأی,ɾɑːj
شوید,ʃeviːd
بیل,beːl
دیشب,diʃab
شاخه,ʃɒːxe
موافقت,movɒːfeɢæt
جعفر,d͡ʒæʔfær
سارا,sɒːɾɒː
طراح,taɾɑːh
مزه,mazza
ق,q
همت,hemmæt
بردار,baɾdɑːɾ
ثروت,saɾvat
حج,hadd͡ʒ
قدرتمند,qudɾatmand
لی,liː
تقدیر,taqdiɾ
شورش,ʃuɾiʃ
الهام,elhɒːm
ختم,xatm
مرتب,moɾættæb
مهمان,mehmɒːn
مکانیک,mekɒːniːk
انبار,anbɑːɾ
تاکید,taʔkid
شکم,ʃekæm
قوم,qavm
مقطع,maqtaʔ
هامون,hɒːmuːn
کوتاهی,kutɔːhiː
خام,xɑːm
سفره,sofɾe
بلا,belɒː
فریدون,feɾei̯duːn
مولانا,mowlɒːnɒː
گو,ɡow
مجسمه,mod͡ʒæssæme
تقویم,taqvim
خرس,xeɾs
سادگی,sɑːdaɡiː
ماهواره,mɑːhwɑːɾa
سلسله,selsele
فر,foɾ
مس,mes
زشت,zeʃt
سالگرد,sɑːlɡaɾd
شلوغ,ʃoluːɣ
مالک,mɑːlik
گنده,ɡanda
یخچال,jaxt͡ʃɑːl
استراتژی,ɛstɾɒːtɛʒiː
تاریخچه,tɑːɾiːxt͡ʃa
دندان,danduːn
شوروی,ʃuːɾæviː
طرفدار,taɾafdɑːɾ
خستگی,xastiɡiː
مقدماتی,moɢæddæmɒːtiː
پری,paɾiː
ژاپنی,ʒɑːpuniː
بالغ,bɒːleɣ
شورا,ʃoʊ̯ɾɒː
مواظب,movɒːzeb
بلافاصله,belɒːfɒːsele
جعفری,d͡ʒæʔfæɾiː
درگاه,dæɾɡɒːh
سرهنگ,saɾhanɡ
شمشیر,ʃamʃeɾ
مارس,mɒːɾs
مطبوعات,matbuʔɔːt
استاندار,ostʰuːndɒːɾ
افسر,afsaɾ
تجربی,tædʒɾobiː
ر,r
عادل,ɑːdil
بارش,bɑːɾiʃ
خوانندگان,xɒːnændeɡɒːn
دستمال,dastmɑːl
زیباترین,ziːbɒːtæɾiːn
اخیرا,axiɾan
داماد,duːmɒːd
شریک,ʃaɾik
راستی,ɾɑːstiː
قید,qajd
کهکشان,kahkaʃɑːn
بدبخت,badbaxt
مردها,mæɾdhɒː
نوک,nvæk
پ,p
چرخه,t͡ʃaɾxa
سیل,saj
مهره,mohɾe
نوروزی,navɾɵːziː
خبره,xebɾe
فایده,fɑːjida
قشنگی,qæʃænɡiː
کالیفرنیا,kɒːliːfornijɒː
سلیمانی,solejmɒːniː
شکستن,ʃekʲæst̪ʰæn
پرویز,paɾweːz
کارگاه,kɑːɾɡɑːh
بارداری,bɑːɾdɑːɾiː
خ,x
دما,damɑː
مردانه,maɾdɑːna
نمودار,nemudɒːɾ
وسیع,vaseʔ
کین,kiːn
گوسفند,ɡuːsfend
بدهی,bɪdiː
خال,xɑːl
صفت,sefæt
ماله,mɑːla
مجرد,mod͡ʒæɾɾæd
نشستن,neʃæstæn
بم,bəm
تازگی,tɑːzaɡiː
خور,xoɾ
فون,foːn
ورق,vaɾaq
پلاک,pelɒːk
بازنشسته,bɑːzniʃasta
منشی,munʃiː
ژنو,ʒenev
کاسه,kɒːse
بفرمایید,befæɾmɒːjiːd
جاذبه,d͡ʒɑːziba
فوق‌العاده,fawqolʔɒda
مین,miːn
نیروگاه,niɾuɡɔːh
هندسه,handasa
کر,kaɾ
بایستی,bɒːjæstiː
تفریح,tafɾeh
خلوت,xalvat
شیک,ʃiːk
پرس,poɾs
اذیت,azijat
زرین,zaɾɾin
مورچه,moːɾt͡ʃa
والا,vɒːlɒː
کنده,kanda
ارگ,oɾɡ
اصیل,asil
ثروتمند,saɾvatmand
خوره,xoɾe
سوز,sowz
فقیر,faqiɾ
نازک,nɑːzuk
بازنشستگی,bɑːzniʃastaɡiː
مختار,moxtɒːɾ
اسطوره,ostuːɾe
برنز,boɾonz
بشکه,boʃke
رحیم,ræhiːm
نمایان,nemɒːjɒːn
اقلیم,eɢliːm
اوکی,okʰej
تسخیر,tasxiɾ
خونریزی,xunɾeziː
ماساژ,mɑːsɑːʒ
وضوح,vozuːh
پنجه,pand͡ʒa
کوره,koːɾa
کویت,kovejt
افغانی,afɣɑːniː
ناخواسته,nɑːxʷɑːsta
ناقص,nɑːqis
پیشه,peʃa
چو,tʃow
آسیاب,ɒːsijɒːb
خوشبخت,xoʃbæxt
فوریه,fevɾiːje
لک,laka
واکسن,vɒksan
اندی,ændeː
تشریح,taʃɾeh
ذرت,zorːæt
سبد,sabad
مغرور,mæɣɾuːɾ
منتقد,montæɢed
امضاء,emzɒː
بخشش,baxʃiʃ
تشکیلات,taʃkilɔːt
خوشه,xoːʃa
شایعه,ʃɑːjiʔa
لاغر,lɑːɣaɾ
ماهر,mɑːhiɾ
پناهگاه,panɑːhɡɑːh
بیچاره,bet͡ʃɔːɾa
نحو,nahv
بعید,baʔid
زین,zin
صدمه,sadama
مسافت,masɑːfat
بیژن,beːʒan
جنون,dʒonuːn
حاد,hɒːd
ذاتی,zɒːtiː
سوت,soːt
لزوماً,lozuːmæn
آرامی,ɒːɾɒːmiː
اقلیت,aqallijat
ترش,toɾʃ
چهارده,t͡ʃahɑːɾdah
خدایی,xodɒːjiː
سپر,sepæɾ
ناچار,nɑːt͡ʃɑːɾ
پروسه,peɾose
درشت,doɾoʃt
نازی,nɑːziː
برس,boɾs
تصحیح,tasheh
خروس,xoɾuːs
خوک,xuːk
ضربان,zæɾæbɒːn
موز,mewz
نر,næɾ
بنگاه,bonɡɒːh
سرب,soɾb
پهلوان,pahlavɔːn
جوراب,dʒoːɾɒːb
مروارید,moɾvɒːɾiːd
مرکب,moɾækkæb
انعکاس,enʔekɒːs
خوار,xɒːɾ
سرپرستی,saɾpaɾastiː
فرآیند,fæɾɒːjænd
داروسازی,dɑːɾuːsɑːziː
رب,ɾabː
منازل,manɑːzil
نقاب,neɢɒːb
چ,tʃ
آوریل,ɒːvɾiːl
القاعده,alqɑːʔida
رعد,ɾaʔd
مهمانی,mehmɒːniː
پدیدار,padidɔːɾ
نفرین,nefɾiːn
ورد,vaɾd
بلبل,bolbol
بهاری,bæhɒːɾiː
ربع,ɾobʔ
سده,sada
پناهنده,pænɒːhænde
درویش,daɾveʃ
بازرگان,bɑːzaɾɡɑːn
باسن,bɑːsan
سرکه,seɾke
نیزه,nei̯ze
گا,ɡɒː
خو,xo
شاهی,ʃɑːhiː
هفده,habdah
ایستادن,istɔːdan
ناو,nɒːw
تبر,tabaɾ
توریستی,tuɾist
سبزه,sebzæ
لوبیا,loːbii̯ɒː
پیشانی,peʃɔːniː
کرایه,kiɾɒːjæ
بختیار,baxtijɑːɾ
دلاور,delɒːvæɾ
زرنگ,zeɾæŋɡ
اقرار,eɢɾɒːɾ
شرک,ʃeɾek
فروهر,foɾuːhæɾ
نورانی,nuɾɔːniː
کینه,kiːne
بیکار,bekɔːɾ
زوال,zavɔːl
زیرزمین,ziːɾzæmiːn
شهرزاد,ʃæhɾzɒːd
گزینش,ɡoziːneʃ
بلوط,balut
بوته,boːtæ
درآوردن,daɾɑːwaɾdan
دلال,dalɑːl
زئوس,zeuːs
مرجان,maɾd͡ʒɑːn
انگشتر,anɡuʃtaɾ
ناتوان,nɑːtawɑːn
واژگان,vɒːʒeɡɒːn
پلان,pelɒːn
فامیل,fɒːmiːl
دوزخ,doːzax
شناختن,ʃenɒːxtæn
معالجه,moʔɒːled͡ʒe
چکش,t͡ʃækuʃ
زیباتر,ziːbɒːtæɾ
شیء,ʃajʔ
صید,sajd
ضلع,zelʔ
مرو,mæɾv
بید,beːd
دژ,deʒ
سرمه,saɾma
شکوفه,ʃokuːfe~ʃekuːfe
نسرین,næsɾiːn
گلف,ɡolf
یلدا,jaldɒ
لات,lɑːt
معشوق,maʔʃuq
نهادی,nahɑːdiː
هلو,holuː
ورشکستگی,vaɾʃikastiɡiː
پشتون,pæʃtuːn
کارزار,kɑːɾzɑːɾ
کرامت,kaɾɑːmat
ترشی,toɾʃiː
فریبا,faɾebɔː
مختل,moxtæl
هیس,sː
حلوا,halvɔː
سرنشین,saɾniʃin
مختلط,moxtælet
پرداختن,paɾdɑːxtan
پیشتاز,peʃtɔːz
خوشنویسی,xoʃneviːsiː
شات,ʃɒːt
شبح,ʃabah
کندن,kandan
زائر,zɑːʔiɾ
پرشور,poɾʃuːɾ
پسوند,pasvand
بایست,bɒːjest
شعب,ʃoʔæb
لجن,lad͡ʒan
پشه,pæʃe
مؤمن,moʔmen
نهج,nahad͡ʒ
گراز,ɡoɾɒːz
گنجشک,ɡond͡ʒeʃk
دپارتمان,depɒrtʰemɒn
سورپرایز,surpeɾɒjz
شیوا,ʃeːwɒː
مشق,mæʃɢ
نارنجک,nɑːɾand͡ʒak
نیایش,nijɑːjiʃ
وهم,vahm
کیهانی,kajhɑːniː
گهواره,ɡʲahvɔːɾa
استیون,estiːven
بیضه,bajza
جانان,d͡ʒɑːnɑːn
مارمولک,mɑːɾmuːlak
پناهندگان,pænɒːhændeɡɒːn
آبه,ɑːbaj
تقوا,taqvɔː
سنجاب,sand͡ʒɑːb~sind͡ʒɑːb
فسیل,fosiːl
ونوس,venuːs
گز,ɡæz
آتنا,ɑːtinɑː
ذبح,zebh
راستگو,ɾɑːstɡuː
شاهان,ʃɒːhɒːn
صاعقه,sɑːʔiqa
وحی,vahj
کریمه,keɾiːme
جانباز,d͡ʒɑːmbɑːz
فقرا,foɢæɾɒː
تفلیس,tefliːs
ستوان,sotvɒːn
مل,mol
آرایشگاه,ɑːɾɑːjiʃɡɑːh
بسنده,bæsænde
متضاد,motæzɒːd
می‌گم,miːɡæm
نبض,nabz
نکاح,nekɒːh
خریدن,xaɾidan
قلیان,qaljɑːn
گوگرد,ɡoːɡɪɾd
سخنگو,soxænɡuː
سرپوش,saɾpoːʃ
شکلاتی,ʃokʰolɒtʰi
مریضی,mæɾiːziː
شیدا,ʃejdɒː
طاووس,tɑːwuːs
لنگر,lanɡaɾ
مدد,madad
نزدیک‌تر,næzdiːktæɾ
بلال,balɑːl
هول,havl
پرطرفدار,poɾtæɾæfdɒːɾ
چله,tʃʰele
کوچک‌تر,kuːtʃektæɾ
سمند,sæmænd
مقعد,maqʔad
نریمان,næɾeːmɒːn
نواختن,navɔːxtan
کانی,kɑːniː
کفن,kafan
بون,buːn
تباه,tabɑːh
درنگ,deɾænɡ
صهیونیسم,sahjunism
شوره,ʃoːɾe
عفت,ʔeffæt
نوکر,nawkar
چکمه,t͡ʃakma
گردون,ɡaɾdun
خندق,xandaq
درها,dæɾhɒː
ساده‌تر,sɒːdetæɾ
لیک,liːk
مضحک,mozhek
نجس,nædʒes
مر,moɾ
مصون,mæsuːn
مرند,maɾand
نمایه,næmɒːje
نیرومند,niːɾuːmænd̪
بلاگ,blɒːɡ
دیس,des
غور,ɢowɾ
نیازها,niːjɒːzhɒː
کلنگ,kolæŋɡ~koloŋɡ
باغات,bɒːɣɒːt̪
ساده‌ترین,sɒːdetæɾiːn
خوانش,xɒːneʃ
خوشبو,xoʃbuːj
لثه,lase
متخلف,motæxællef
یزدان,jæzdɒːn
درنده,daɾanda
شغال,ʃoɣɒːl
شمردن,ʃomoɾdæn~ʃemoɾdæn
فشنگ,feʃænɡ
کرفس,kæɾæfs
باروت,bɒːɾuːt
تازه‌ترین,tɒːzetæɾiːn
جامعه‌شناسی,d͡ʒɑːmiʔaʃinɑːsiː
خزندگان,xæzændeɡɒːn
دلبستگی,delbæsteɡiː
سمیعی,sæmiːʔiː
شهود,ʃohuːd
جمعاً,d͡ʒamʔan
ناخدا,nɑːxud̪ɑː
نادان,nɑːdɑːn
خز,xaz
پرتگاه,pæɾtɡɒːh
چاپگر,t͡ʃɑːpɡaɾ
گدا,ɡadɒː
تمبر,tæmbɾ
خشاب,xeʃɒːb
سوسمار,suːsmɒːr
همبازی,hambɑːziː
پارسه,pɒːɾse
پراکندگی,paɾɑːkandaɡiː
زشتی,zeʃtiː
شپش,ʃepeʃ
ویژگی‌ها,viːʒeɡiːhɒː
انزال,enzɒːl
دلفین,dolfiːn
روادید,rævɒːd̪iːd̪
چرک,tʃeɾk
حجره,hod͡ʒɾe
دجله,ded͡ʒle
رعنا,ɾaʔnɑː
خزنده,xæzænde
رنده,ɾanda
مفعول,mafʔul
گیسو,ɡesu
یونجه,joːnd͡ʒa
تمثیل,tamsil
جسور,d͡ʒasuɾ
سرحد,sæɾhæd
ماهور,mɒːhuːɾ
منفور,manfuɾ
نزدیک‌ترین,næzdiːktæɾiːn
کوچک‌ترین,kuːtʃektæɾiːn
ترسیدن,taɾsidan
دشنام,doʃnɒːm
خردل,xaɾdal
سه‌بعدی,seboʔdiː
واژه‌ها,vɒːʒehɒː
پتک,potk
پیکار,pajkɑːɾ
کاسب,kɑːsib
کمند,kamand
بکارت,bakɑːɾat
خوف,xavf
هیزم,hezum
ویستا,vistɒ
گزاف,ɡazɑːf
رعیت,ɾaʔjat
واج,vɒːd͡ʒ
باف,bɒːf
هرتز,heɾtz
تهرون,tehɾuːn
پنجشیر,pand͡ʒʃeɾ
تیمارستان,timɔːɾistɔːn
میخی,miːxiː
تحفه,tohfe
جویدن,d͡ʒavidan
خسروانی,xosɾævɒːniː
سالک,sɑːlik
سلماس,salmɑːs
سماع,samɑːʔ
زال,zɒːl
گودرز,ɡoːdæɾz
قونیه,qunija
مومیایی,moːmijɒːjiː
ناپسند,nɑːpasand
داروساز,dɑːɾuːsɑːz
غیور,ɣajuɾ
کفتر,keftæɾ
تنبور,tanbuɾ
مصدر,masdaɾ
هفته‌ها,hæftehɒː
بزاق,bozɒːɣ
ظرفی,zaɾfiː
ملامت,malɑːmat
ترساندن,taɾsɑːndan
زنجبیل,zænd͡ʒæbiːl
سهمگین,sahmɡin
فرازمینی,faɾɑːzamiːniː
شهد,ʃahd
منیژه,maniːʒa
یدکی,jadakiː
بازیچه,bɒːziːtʃʰe
برار,beɾɒːɾ
دودمان,dudmɔːn
مؤدب,moʔæddeb
گاومیش,ɡɑːwmeːʃ
ارض,aɾz
زه,zeh
فاک,fɒːk
میانجیگری,mijɔːnd͡ʒiɡaɾiː
نعوظ,noʔuːz
وزغ,væzæɣ
افیون,ʔæfjuːn
مادرانه,mɑːdaɾɑːna
اتا,aːtaj,ɑːtaj
سرداب,sæɾdɑːb
فشردن,feʃoɾdæn
محافظه‌کار,mohɒːfezekɒːɾ
پرگار,paɾɡɑːɾ
گورخر,ɡoːɾxæɾ
یم,jam
استادانه,ʔostʰɒːd̪ɒːne
سنگواره,sanɡvɔːɾa
نژادپرست,neʒɒːdpæɾæst
کشتی‌گیر,koʃtiːɡiːɾ
حدادی,hædːɒːdiː
زان,zɑːn
پیشوند,peʃvand
کوتاه‌تر,kuːtɒːhtæɾ
بهمان,bahmɑːn
شاداب,ʃɒːdɒːb
میخانه,majxɑːna
بوران,buːɾɒn
رستوران‌ها,rastuːɾɑːnhɑː
منگنه,maŋɡana
میرزاخانی,miɾzɒːxɒːniː
پوزخند,puːzxænd
چریک,t͡ʃeɾiːk~t͡ʃæɾiːk
جامعه‌شناس,d͡ʒɑːmiʔaʃinɑːs
مشکین,moʃkiːn~meʃkiːn
چر,t͡ʃer
چیش,tʃiʃ
بلعیدن,bælʔiːdæn
بیرق,bajɾaq
توپولوژی,topoloʒiː
سرخوش,saɾxuʃ
غمناک,ɢæmnɒːk
شطرنج‌باز,ʃatɾand͡ʒbɑːz
پش,pæʃ
بهتان,bohtun
خاویار,xɒːvijɒːɾ
دلگیر,delɡiːɾ
پیمودن,pajmudan
خسیس,xasis
زورخانه,zoːɾxɑːna
مدنیت,madanijjat
نوم,noːm
تیله,tela
خوشنویس,xoʃneviːs
قندوز,qunduz
نانوشته,nɑːniwiʃta
سرین,soɾiːn
هوتن,huːtæn
ورز,vaɾz
کوتاه‌ترین,kuːtɒːhtæɾiːn
گدازه,ɡodɒːze
ذ,z
ناشنوا,nɑːʃinawɑː
پیرترین,piːɾtæɾiːn
پیچیدن,pet͡ʃidan
چرخیدن,tʃeɾxid̪æn
گیان,ɡojɒːn
اغوا,eɢvɒː
تلویحی,tælviːhiː
پیرتر,piːɾtæɾ
انتحار,entehɒːɾ
دودل,dodel
قزاق,qæzzɒːq
شاهزادگان,ʃɒːhzɒːdeɡɒːn
ژوپیتر,ʒupiteɾ
دربان,daɾbɑːn
خودنویس,xodneviːs
مردم‌سالاری,maɾdumsɑːlɑːɾiː
فراصوت,faɾɑːsawt
لنگرگاه,lanɡaɾɡɑːh
کهکشان‌ها,kæhkæʃɒːnhɒː
شنبلیله,ʃæmbæliːle
ترکیدن,tæɾækʲiːdæn
مخرج,maxɾad͡ʒ
نیوشا,nijoːʃɒː
هجران,hid͡ʒɾɒːn
سنان,senɒːn
نامیدن,nɑːmiːdan
کاغذها,kɒːɣæzhɒː
نغز,næɣz
آجه,ɑːd͡ʒaj
آزردن,ɒːzoɾdæn
آشوب‌ها,ɒːʃuːbhɒː
اتم‌ها,ætomhɒː
اسفرزه,esfæɾze
اسلیمی,esliːmiː
اسپندان,espændɒːn
اسکدار,askudɑːɾ
اشترخار,oʃtoɾxɒːɾ
اشترغار,oʃtoɾɢɒːɾ
اصول‌گرا,osuːlɡæɾɒː
اعنی,aʔniː
افرنگ,afɾanɡ
اقمار,aqmɑːɾ
المزده,ælæmzæde
الیجو,alajd͡ʒuː
امیدیار,ʔomiːdyɒːɾ
امین‌ها,æmiːnhɒː
انگبین,anɡubin~anɡabin
اگیر,aɡiɾ~iɡiɾ
ایدون,edun
ایران‌ویج,eɾɔːnved͡ʒ
ایمان‌دار,imɔːndɔːɾ
باحال‌تر,bɒːhɒːltæɾ
باحال‌ترین,bɒːhɒːltæɾiːn
بادبانی,bɑːdbɑːniː
بارود,bɒːɾuːd
باریک‌تر,bɒːɾiːktæɾ
باریک‌ترین,bɒːɾiːktæɾiːn
باغ‌ها,bɒːɣhɒː
بامزه‌تر,bɒːmæzetæɾ
بامزه‌ترین,bɒːmæzetæɾiːn
باولی,bɑːvliː
باژ,bɑːʒ
باژدار,bɑːʒdɑːɾ
بتکده,botkæde
بحریه,bahɾija
بختر,bextæɾ
برازیدن,baɾɑːziːdan
برهمن,baɾahman
برهنه‌گرا,baɾahnaɡaɾɑː
برگزیدن,baɾɡuzidan
بزرگ‌امید,bozoɾɡʔomiːd
بسد,bosæd~besæd
بلگ,bælɡ
بنیادگرا,bonjɒːdɡæɾɒː
بنین,beniːn
بوالعجب,bolʔæd͡ʒæb
بژ,beʒ
بیمارتر,biːmɒːɾtæɾ
بیمارترین,biːmɒːɾtæɾiːn
بیمناک,bimnɔːk
بی‌صراط,besiɾɔːt
بی‌عرضه,beuɾza
بی‌میل,bemajl
بەت,bæːt
تاجور,tɒːdʒvæɾ
تاریک‌تر,tɒːɾiːktæɾ
تاریک‌ترین,tɒːɾiːktæɾiːn
تازه‌تر,tɒːzetæɾ
ترسایی,tæɾsɒːjiː
تغایی,taɣɑːjiː
تفسیدن,tafsidan
تمر,tamuɾ
تمیزتر,tæmiːztæɾ
تمیزترین,tæmiːztæɾiːn
تنبان,tombɒn
تنبسه,tanbasa
تنیسور,teniːsoɾ
تنیس‌باز,teniːsbɒːz
توسی,tuːsiː
توپچى,toːpt͡ʃiː
تکفور,tækfuːɾ
تکواژ,takvâʒ
تکور,tækvoɾ
تکیدن,takidan
تیهو,tihɵː
ثابت‌ها,sɒːbetʰhɒː
جزدان,d͡ʒozdɒːn
جزیه,d͡ʒezje
جمول,d͡ʒæmul
جواب‌ها,dʒævɒːbhɒː
جوگی,d͡ʒoːɡiː
خاص‌تر,xɒːstʰæɾ
خاص‌ترین,xɒːstʰæɾiːn
خاقان,xɑːqɑːn
خاکروبه,xɑːkɾoːba
خباره,xabɑːɾa
ختنه‌گاه,xatnaɡɑːh
ختو,xotuː
خرامیدن,xaɾɑːmiːdan
خروشیدن,xoɾuːʃiːdæn
خزاعی,xæzɒːʔiː
خزیدن,xazidan
خزینه,xazina
خسته‌خانه,xastaxɑːna
خشکاندن,xoʃkɒːndæn
خشکوندن,xoʃkuːndæn
خصم,xasm
خنداندن,xandɑːndan
خندون,xænduːn
