равняются,rɐvnʲæjʊt͡sə
ощутился,ɐɕːʉtʲiɫs⁽ʲ⁾ə
рассыпался,rɐsːɨpəɫs⁽ʲ⁾ə
избавилась,ɪzbavʲɪɫəsʲ
апоптоз,ɐpɐptos
оспариваемый,ɐsparʲɪvəjɪmɨj
записало,zəpʲɪsaɫə
засевайте,zəsʲɪvajtʲe
работникам,rɐbotʲnʲɪkəm
ошеломлениях,ɐʂɨɫɐmlʲenʲɪjəx
посыпать,pəsɨpatʲ
расширяетесь,rəʂːɨrʲæjɪtʲɪsʲ
мандрилы,mɐndrʲiɫɨ
фонарев,fənɐrʲef
табелям,tabʲɪlʲəm
простаками,prəstɐkamʲɪ
смолам,smoɫəm
выскажусь,vɨskəʐʊsʲ
накручивающий,nɐkrut͡ɕɪvəjʉɕːɪj
растирала,rəsʲtʲɪraɫə
множествам,mnoʐɨstvəm
перемешайтесь,pʲɪrʲɪmʲɪʂajtʲɪsʲ
усложняющий,ʊsɫɐʐnʲæjʉɕːɪj
сукка,sukːə
калашников,kɐɫaʂnʲɪkəf
загадайте,zəɡɐdajtʲe
сюртуке,sʲʊrtʊkʲe
поклялась,pəklʲɪɫasʲ
встретить,fstrʲetʲɪtʲ
ухудшите,ʊxut͡ʂʂɨtʲe
затылочком,zɐtɨɫət͡ɕkəm
забралах,zɐbraɫəx
открытки,ɐtkrɨtkʲɪ
тембра,tɛmbrə
кратера,kratʲɪrə
слезоточило,s⁽ʲ⁾lʲɪzətɐt͡ɕiɫə
металу,mʲetəɫʊ
понялся,pɐnʲaɫs⁽ʲ⁾ə
скоротай,skərɐtaj
вельможей,vʲɪlʲmoʐɨj
тренировалось,trʲɪnʲɪrɐvaɫəsʲ
продукты,prɐduktɨ
одиссеи,ɐdʲɪsʲeɪ
обидится,ɐbʲidʲɪt͡sə
заказавший,zəkɐzafʂɨj
крате,kratʲe
иносказаниях,ɪnəskɐzanʲɪjəx
витебчане,vʲɪtʲɪpt͡ɕænʲe
похристосовались,pəxrʲɪstosəvəlʲɪsʲ
огурчиком,ɐɡurt͡ɕɪkəm
содомии,sədɐmʲiɪ
своевременно,svəjɪvrʲemʲɪnːə
взметёт,vzmʲɪtʲɵt
треноженный,trʲɪnoʐɨnːɨj
корреляциями,kərʲɪlʲat͡sɨjəmʲɪ
абсолютизировало,ɐpsəlʲʉtʲɪzʲirəvəɫə
убиравшийся,ʊbʲɪrafʂɨjsʲə
домработницах,dəmrɐbotʲnʲɪt͡səx
ошикают,ɐʂɨkəjʊt
лианами,lʲɪanəmʲɪ
отправляли,ɐtprɐvlʲælʲɪ
замутите,zɐmutʲɪtʲe
внимаем,vnʲɪmajɪm
затопай,zɐtopəj
расхохотавшийся,rəsxəxɐtafʂɨjsʲə
оглядевшийся,ɐɡlʲɪdʲefʂɨjsʲə
слывём,sɫɨvʲɵm
отрывает,ɐtrɨvajɪt
отлёживайтесь,ɐtlʲɵʐɨvəjtʲɪsʲ
эргам,ɛrɡəm
обнюхивая,ɐbnʲʉxʲɪvəjə
пристращаемся,prʲɪstrɐɕːæjɪmsʲə
вышвыриваешь,vɨʂvɨrʲɪvəjɪʂ
обласкавший,ɐbɫɐskafʂɨj
претивший,prʲɪtʲifʂɨj
вчувствоваться,ft͡ɕustvəvət͡sə
отступитесь,ɐt͡sstupʲɪtʲɪsʲ
обвораживаешь,ɐbvɐraʐɨvəjɪʂ
никстамализациях,nʲɪkstəməlʲɪzat͡sɨjəx
машинисты,məʂɨnʲistɨ
увиваемся,ʊvʲɪvajɪmsʲə
предчувствием,prʲɪt͡ɕːustvʲɪjɪm
тождеств,toʐdʲɪstf
кольчуги,kɐlʲt͡ɕʉɡʲɪ
отмываю,ɐtmɨvajʊ
нервны,nʲervnɨ
успеваемости,ʊspʲɪvajɪməsʲtʲɪ
подчёркивать,pɐt͡ɕːɵrkʲɪvətʲ
фыркнете,fɨrknʲɪtʲe
прояснили,prəjɪsʲnʲilʲɪ
гадания,ɡɐdanʲɪjə
пошатни,pəʂɐtʲnʲi
всплакнут,fspɫɐknut
мимиках,mʲimʲɪkəx
усомнится,ʊsɐmnʲit͡sːə
дубляже,dʊblʲɪʐɛ
разгильдяйству,rəzɡʲɪlʲdʲæjstvʊ
разводишь,rɐzvodʲɪʂ
повышаться,pəvɨʂat͡sːə
струнах,strunəx
коровником,kɐrovnʲɪkəm
полуминутою,pəɫʊmʲɪnutəjʊ
нагнало,nɐɡnaɫə
пощекочу,pəɕːɪkɐt͡ɕu
идеализируете,ɪdʲɪəlʲɪzʲirʊjɪtʲe
юлю,jʉlʲu
минетами,mʲɪnʲetəmʲɪ
ищи,ɪɕːi
древен,drʲevʲɪn
просовываю,prɐsovɨvəjʊ
автопроизводители,aftəprəɪzvɐdʲitʲɪlʲɪ
чадивши,t͡ɕɪdʲifʂɨ
нашепчем,nɐʂɛpt͡ɕɪm
перегаров,pʲɪrʲɪɡarəf
кухня,kuxnʲə
уничтожат,ʊnʲɪt͡ɕtoʐət
срём,srʲɵm
колонистом,kəɫɐnʲistəm
прививав,prʲɪvʲɪvaf
трезвеем,trʲɪzvʲejɪm
термосферам,tʲermɐsfʲerəm
откидывайте,ɐtkʲidɨvəjtʲe
тридцатою,trʲɪt͡sːatəjʊ
обеззараживай,ɐbʲɪzːɐraʐɨvəj
интеллигенцию,ɪnʲtʲɪlʲɪɡʲent͡sɨjʊ
плотник,pɫotʲnʲɪk
безумств,bʲɪzumstf
свариваю,svarʲɪvəjʊ
зажмурьтесь,zɐʐmurʲtʲɪsʲ
исповедуетесь,ɪspɐvʲedʊjɪtʲɪsʲ
рентгениздатам,rʲɪnɡʲɪnʲɪzdatəm
обложитесь,ɐbɫɐʐɨtʲɪsʲ
кожухам,kəʐʊxam
заночевали,zənət͡ɕɪvalʲɪ
ёжившеюся,jɵʐɨfʂɨjʉsʲə
разработают,rəzrɐbotəjʊt
переориентируй,pʲɪrʲɪərʲɪjɪnʲtʲirʊj
гнои,ɡnoɪ
худа,xʊda
факторах,faktərəx
леер,lʲejɪr
разъясняю,rəzjɪsʲnʲæjʊ
разводы,rɐzvodɨ
сене,sʲenʲe
болячкою,bɐlʲæt͡ɕkəjʊ
сооружать,sɐɐrʊʐatʲ
поисковик,pəɪskɐvʲik
атомоход,ɐtəmɐxot
лицезрим,lʲɪt͡sɨzrʲim
запечатлев,zəpʲɪt͡ɕɪtlʲef
драить,draɪtʲ
воссоединило,vəsːəjɪdʲɪnʲiɫə
отхлебнёшь,ɐtxlʲɪbnʲɵʂ
ромашка,rɐmaʂkə
морщив,morɕːɪf
клубу,kɫubʊ
май,maj
вытряхиваем,vɨtrʲæxʲɪvəjɪm
фоток,fotək
исчезнувши,ɪɕːeznʊfʂɨ
великодушно,vʲɪlʲɪkɐduʂnə
сожжениях,sɐʐːɛnʲɪjəx
господдержек,ɡospɐdʲːerʐɨk
кандидатурах,kənʲdʲɪdɐturəx
чрезвычаен,t͡ɕrʲɪzvɨt͡ɕæjɪn
неготовностей,nʲɪɡɐtovnəsʲtʲɪj
подхода,pɐtxodə
далась,dɐɫasʲ
обезоружила,ɐbʲɪzɐruʐɨɫə
отвинчивавший,ɐtvʲinʲt͡ɕɪvəfʂɨj
церемонию,t͡sɨrʲɪmonʲɪjʊ
дотягивался,dɐtʲæɡʲɪvəɫs⁽ʲ⁾ə
спутанный,sputənːɨj
ключом,klʲʉt͡ɕɵm
разветвивши,rəzvʲɪtvʲifʂɨ
возрастать,vəzrɐstatʲ
высвобождало,vɨsvəbɐʐdaɫə
таками,takəmʲɪ
ведомости,vʲedəməsʲtʲɪ
хмур,xmur
стащит,staɕːɪt
ручницы,rʊt͡ɕnʲit͡sɨ
соизволяете,səɪzvɐlʲæjɪtʲe
рожках,roʂkəx
тониками,tonʲɪkəmʲɪ
балык,bɐɫɨk
высморкается,vɨsmərkəjɪt͡sə
гласив,ɡɫɐsʲif
добру,dɐbru
подвижке,pɐdvʲiʂkʲe
переминавшийся,pʲɪrʲɪmʲɪnafʂɨjsʲə
напрашивались,nɐpraʂɨvəlʲɪsʲ
отголосках,ɐdɡɐɫoskəx
цимбал,t͡sɨmbaɫ
ринулось,rʲinʊɫəsʲ
крекеру,krʲekʲɪrʊ
подмостки,pɐdmostkʲɪ
облагало,ɐbɫɐɡaɫə
потребляемый,pətrʲɪblʲæjɪmɨj
пахтой,paxtəj
похолодания,pəxəɫɐdanʲɪjə
распираю,rəspʲɪrajʊ
тойтерьеру,təjtɨrʲjerʊ
нежеланиям,nʲɪʐɨɫanʲɪjəm
хрустел,xrʊsʲtʲeɫ
уследивши,ʊs⁽ʲ⁾lʲɪdʲifʂɨ
подсвечнику,pɐt͡ssvʲet͡ɕnʲɪkʊ
разложениям,rəzɫɐʐɛnʲɪjəm
поеданиям,pəjɪdanʲɪjəm
вылечиваемый,vɨlʲet͡ɕɪvəjɪmɨj
выгуливав,vɨɡulʲɪvəf
озлоблению,ɐzɫɐblʲenʲɪjʊ
изобретём,ɪzəbrʲɪtʲɵm
конкретизациях,kənkrʲɪtʲɪzat͡sɨjəx
шекелям,ʂɛkʲɪlʲəm
полицией,pɐlʲit͡sɨjɪj
переговорами,pʲɪrʲɪɡɐvorəmʲɪ
окороке,okərəkʲe
мелируясь,mʲɪlʲirʊjɪsʲ
беснуюсь,bʲɪsnujʉsʲ
щеглами,ɕːɪɡɫamʲɪ
билось,bʲiɫəsʲ
погоняясь,pəɡɐnʲæjɪsʲ
навьючите,nɐv⁽ʲ⁾jʉt͡ɕɪtʲe
морозивший,mɐrozʲɪfʂɨj
выворотив,vɨvərətʲɪf
местам,mʲɪstam
умирят,ʊmʲɪrʲat
преобразилась,prʲɪəbrɐzʲiɫəsʲ
нашествия,nɐʂɛstvʲɪjə
опресняй,ɐprʲɪsʲnʲæj
певшись,pʲefʂɨsʲ
примечавши,prʲɪmʲɪt͡ɕafʂɨ
резонов,rʲɪzonəf
выгружаем,vɨɡrʊʐajɪm
колышусь,kɐɫɨʂʊsʲ
отвязывайтесь,ɐtvʲazɨvəjtʲɪsʲ
раздавил,rəzdɐvʲiɫ
обрезывали,ɐbrʲezɨvəlʲɪ
кайфовал,kəjfɐvaɫ
заседающий,zəsʲɪdajʉɕːɪj
жидомасонский,ʐɨdəmɐsonskʲɪj
постукиванием,pɐstukʲɪvənʲɪjɪm
реагировали,rʲɪɐɡʲirəvəlʲɪ
надуть,nɐdutʲ
лидировавши,lʲɪdʲirəvəfʂɨ
потасовках,pətɐsofkəx
спичрайтерам,spʲɪt͡ɕrajtɨrəm
оскалить,ɐskalʲɪtʲ
прожжёте,prɐʑːɵtʲe
свинств,svʲinstf
снаряду,snɐrʲadʊ
разветвляйтесь,rəzvʲɪtvlʲæjtʲɪsʲ
хладу,xɫadʊ
лебедёнком,lʲɪbʲɪdʲɵnkəm
шунтирование,ʂʊnʲtʲirəvənʲɪje
снеговику,sʲnʲɪɡəvʲɪku
подобие,pɐdobʲɪje
женьшеню,ʐɨnʲʂɛnʲʊ
бейсболкой,bʲɪjzboɫkəj
мошнах,mɐʂnax
поднялись,pɐdʲnʲælʲɪsʲ
ленах,lʲenəx
доставлю,dɐstavlʲʊ
сумасбродивши,sʊmɐzbrodʲɪfʂɨ
наклеили,nɐklʲeɪlʲɪ
давитесь,davʲɪtʲɪsʲ
подлизывайся,pɐdlʲizɨvəjsʲə
полешь,polʲɪʂ
стабы,stabɨ
просу,prosʊ
моклак,mɐkɫak
страннике,stranʲːɪkʲe
анестезированием,ɐnʲɪsʲtʲɪzʲirəvənʲɪjɪm
восточно,vɐstot͡ɕnə
туты,tutɨ
восхитятся,vəsxʲɪtʲat͡sːə
крепление,krʲɪplʲenʲɪje
серьёзам,sʲɪrʲjɵzəm
иноагентами,inɐɐɡʲentəmʲɪ
встревающий,fstrʲɪvajʉɕːɪj
аналитиками,ɐnɐlʲitʲɪkəmʲɪ
кабачка,kəbɐt͡ɕka
аббатисам,ɐbːɐtʲisəm
проворили,prɐvorʲɪlʲɪ
отморозило,ɐtmɐrozʲɪɫə
неполнота,nʲɪpəɫnɐta
осиротеет,ɐsʲɪrɐtʲejɪt
испещряла,ɪspʲɪɕːrʲaɫə
лаоскам,ɫɐoskəm
подать,pɐdatʲ
возобладаете,vəzəbɫɐdajɪtʲe
посели,pəsʲɪlʲi
транслируем,trɐns⁽ʲ⁾lʲirʊjɪm
объятии,ɐbjætʲɪɪ
пыреев,pɨrʲejɪf
колонистами,kəɫɐnʲistəmʲɪ
передачи,pʲɪrʲɪdat͡ɕɪ
разрозню,rɐzrozʲnʲʊ
алкогольный,ɐɫkɐɡolʲnɨj
мины,mʲinɨ
спечётся,spʲɪt͡ɕɵt͡sːə
троллингу,trolʲɪnɡʊ
перепрыгнутый,pʲɪrʲɪprɨɡnʊtɨj
превосходив,prʲɪvəsxɐdʲif
гяуром,ɡʲɪurəm
ноутбуки,noʊdbukʲɪ
англии,anɡlʲɪɪ
подыщет,pɐdɨɕːɪt
погустело,pəɡʊsʲtʲeɫə
парнишка,pɐrnʲiʂkə
кровотечением,krəvətʲɪt͡ɕenʲɪjɪm
опекала,ɐpʲɪkaɫə
мелем,mʲelʲɪm
устремляющий,ʊstrʲɪmlʲæjʉɕːɪj
падайте,padəjtʲe
дарвинизму,dərvʲɪnʲizmʊ
грубы,ɡrubɨ
депозитов,dʲɪpɐzʲitəf
плюшек,plʲuʂɨk
захотитесь,zəxɐtʲitʲɪsʲ
ваше,vaʂɨ
накалываешь,nɐkaɫɨvəjɪʂ
ров,rof
тмину,tmʲinʊ
ростовчанин,rəstɐft͡ɕænʲɪn
столетиях,stɐlʲetʲɪjəx
вахмистрах,vaxmʲɪstrəx
трюмселях,trʲʊmsʲɪlʲax
всплывает,fspɫɨvajɪt
тигриц,tʲɪɡrʲit͡s
иллюминацию,ɪlʲʉmʲɪnat͡sɨjʊ
вальсы,valʲsɨ
отделывался,ɐdʲːeɫɨvəɫs⁽ʲ⁾ə
налогообложениях,nɐɫoɡɐɐbɫɐʐɛnʲɪjəx
гротами,ɡrotəmʲɪ
постоянные,pəstɐjanːɨje
унявшийся,ʊnʲafʂɨjsʲə
реинкарнированный,rʲɪɪnkɐrnʲirəvənːɨj
передышкою,pʲɪrʲɪdɨʂkəjʊ
ратовал,ratəvəɫ
напутай,nɐputəj
угомонишься,ʊɡəmɐnʲiʂsʲə
отделывалась,ɐdʲːeɫɨvəɫəsʲ
зыбка,zɨpkə
зыбила,zɨbʲɪɫə
предвидя,prʲɪdvʲidʲə
самуму,sɐmumʊ
старенький,starʲɪnʲkʲɪj
обиняков,ɐbʲɪnʲɪkof
запомнилось,zɐpomnʲɪɫəsʲ
эрозий,ɪrozʲɪj
обзывании,ɐbzɨvanʲɪɪ
аннексиею,ɐnɛksʲɪjɪjʊ
витебцы,vʲitʲɪpt͡sɨ
ракелем,rakʲɪlʲɪm
пощадами,pɐɕːadəmʲɪ
отписавшийся,ɐtpʲɪsafʂɨjsʲə
сознайтесь,sɐznajtʲɪsʲ
гидроаэродромами,ɡʲɪdrɐɐɪrɐdroməmʲɪ
изрежь,ɪzrʲeʂ
ношениям,nɐʂɛnʲɪjəm
гати,ɡatʲɪ
афтершоком,ɐftɨrʂokəm
добродушию,dəbrɐduʂɨjʊ
переменяя,pʲɪrʲɪmʲɪnʲæjə
надорвал,nədɐrvaɫ
водевилей,vədɨvʲilʲɪj
оглядеть,ɐɡlʲɪdʲetʲ
лучило,ɫʊt͡ɕiɫə
пролепетавши,prəlʲɪpʲɪtafʂɨ
черпаков,t͡ɕɪrpɐkof
недоумевая,nʲɪdəʊmʲɪvajə
керосинке,kʲɪrɐsʲinkʲe
претворениям,prʲɪtvɐrʲenʲɪjəm
контингентах,kənʲtʲɪnɡʲentəx
скользил,skɐlʲzʲiɫ
лосьоном,ɫɐsʲjɵnəm
европейский,jɪvrɐpʲejskʲɪj
присмотритесь,prʲɪsmotrʲɪtʲɪsʲ
шифером,ʂɨfʲɪrəm
чревовещателях,t͡ɕrʲevəvʲɪɕːætʲɪlʲəx
столбняк,stɐɫbnʲak
переведём,pʲɪrʲɪvʲɪdʲɵm
оценкой,ɐt͡sɛnkəj
рожствам,rɐʂstvam
вышин,vɨʂɨn
переосмыслению,pʲɪrʲɪəsmɨs⁽ʲ⁾lʲenʲɪjʊ
миков,mʲikəf
взморьях,vzmorʲjəx
ампутируют,ɐmpʊtʲirʊjʊt
посолы,pɐsoɫɨ
конницах,konʲːɪt͡səx
выровняешь,vɨrəvnʲɪjɪʂ
острицы,ɐstrʲit͡sɨ
дёрен,dʲɵrʲɪn
брюзжите,brʲʊʐːɨtʲe
печурки,pʲɪt͡ɕurkʲɪ
концентрировавши,kənt͡sɨntrʲirəvəfʂɨ
шепелявили,ʂɨpʲɪlʲævʲɪlʲɪ
наламывало,nɐɫamɨvəɫə
припрятавший,prʲɪprʲatəfʂɨj
докучая,dəkʊt͡ɕæjə
колледжами,kolʲɪd͡ʐʐəmʲɪ
королевичем,kərɐlʲevʲɪt͡ɕɪm
игнорирований,ɪɡnɐrʲirəvənʲɪj
сбривало,zbrʲɪvaɫə
прикидываешься,prʲɪkʲidɨvəjɪʂsʲə
азитромицином,ɐzʲɪtrəmʲɪt͡sɨnəm
деревянка,dʲɪrʲɪvʲankə
минуткой,mʲɪnutkəj
снизила,sʲnʲizʲɪɫə
пепси,pʲepsʲɪ
пиздюшками,pʲɪzʲdʲuʂkəmʲɪ
уменьшение,ʊmʲɪnʲʂɛnʲɪje
призадумывайтесь,prʲɪzɐdumɨvəjtʲɪsʲ
истин,isʲtʲɪn
прояснится,prəjɪsʲnʲit͡sːə
одесситам,ɐdɨsʲitəm
бескорыстии,bʲɪskɐrɨsʲtʲɪɪ
съём,sjɵm
старение,stɐrʲenʲɪje
подполов,potpəɫəf
реакциях,rʲɪakt͡sɨjəx
сутулиться,sʊtulʲɪt͡sə
брасс,bras
кроль,krolʲ
выломавший,vɨɫəməfʂɨj
краеведческий,krəjɪvʲet͡ɕːɪskʲɪj
помнитесь,pomnʲɪtʲɪsʲ
продавалась,prədɐvaɫəsʲ
миллисекунда,mʲɪlʲɪsʲɪkundə
коленопреклонение,kɐlʲenəprʲɪkɫɐnʲenʲɪje
попятите,pɐpʲætʲɪtʲe
сажу,saʐʊ
утолстишь,ʊtɐɫs⁽ʲ⁾tʲiʂ
отслужило,ɐt͡ssɫʊʐɨɫə
прокручивающий,prɐkrut͡ɕɪvəjʉɕːɪj
бизнес,bʲiznɨs
захра,zɐxra
запорошишь,zəpərɐʂɨʂ
бешу,bʲɪʂu
дублёрам,dʊblʲɵrəm
ремёслами,rʲɪmʲɵsɫəmʲɪ
подыгрывали,pɐdɨɡrɨvəlʲɪ
ранит,ranʲɪt
басурманином,bəsʊrmanʲɪnəm
обзаведётся,ɐbzəvʲɪdʲɵt͡sːə
приковали,prʲɪkɐvalʲɪ
мнясь,mnʲæsʲ
сюрпризами,sʲʊrprʲizəmʲɪ
уключин,ʊklʲʉt͡ɕɪn
раздвоений,rəzdvɐjenʲɪj
убедись,ʊbʲɪdʲisʲ
созвучия,sɐzvut͡ɕɪjə
природах,prʲɪrodəx
выбирайте,vɨbʲɪrajtʲe
изнываем,ɪznɨvajɪm
жилой,ʐɨɫəj
заискивала,zɐiskʲɪvəɫə
свидетельствах,svʲɪdʲetʲɪlʲstvəx
хеком,xʲekəm
мезгою,mʲɪzɡojʊ
деморализовавший,dʲɪmərəlʲɪzɐvafʂɨj
изувечило,ɪzʊvʲet͡ɕɪɫə
подразумевалась,pədrəzʊmʲɪvaɫəsʲ
повидлом,pɐvʲidɫəm
христианстве,xrʲɪsʲtʲɪanstvʲe
приоткрылись,prʲɪɐtkrɨlʲɪsʲ
рулевому,rʊlʲɪvomʊ
кроликов,krolʲɪkəf
вспугиваю,fspuɡʲɪvəjʊ
насторожит,nəstərɐʐɨt
положились,pəɫɐʐɨlʲɪsʲ
причитывайте,prʲɪt͡ɕitɨvəjtʲe
идеала,ɪdʲɪaɫə
перезагрузят,pʲɪrʲɪzɐɡruzʲət
высотою,vɨsɐtojʊ
наглецов,nəɡlʲɪt͡sof
сноп,snop
кануло,kanʊɫə
товарищество,tɐvarʲɪɕːɪstvə
колыхнёте,kəɫɨxnʲɵtʲe
капоты,kɐpotɨ
заплелось,zəplʲɪɫosʲ
оракулы,ɐrakʊɫɨ
просовывайте,prɐsovɨvəjtʲe
галлюцинаций,ɡəlʲʊt͡sɨnat͡sɨj
афганцем,ɐvɡant͡sɨm
холостяком,xəɫəsʲtʲɪkom
ужаснутся,ʊʐɐsnut͡sːə
надфиля,natfʲɪlʲə
бородёнкам,bərɐdʲɵnkəm
чувствуйтесь,t͡ɕustvʊjtʲɪsʲ
лейкоциты,lʲɪjkɐt͡sɨtɨ
татой,tatəj
болельщиками,bɐlʲelʲɕːɪkəmʲɪ
взаимодействию,vzɐimɐdʲejstvʲɪjʊ
регентш,rʲeɡʲɪnʂ
песчаников,pʲɪɕːænʲɪkəf
приимаем,prʲɪɪmajɪm
поменялось,pəmʲɪnʲaɫəsʲ
проанализировавши,prɐɐnəlʲɪzʲirəvəfʂɨ
ямбах,jambəx
волнам,voɫnəm
пережидая,pʲɪrʲɪʐɨdajə
шарканьях,ʂarkənʲjəx
заслонял,zəsɫɐnʲaɫ
прерываете,prʲɪrɨvajɪtʲe
поладит,pɐɫadʲɪt
выздоровлениях,vɨzdərɐvlʲenʲɪjəx
дичины,dʲɪt͡ɕinɨ
противнике,prɐtʲivnʲɪkʲe
звукоизоляций,zvukəɪzɐlʲat͡sɨj
сопряги,səprʲɪɡʲi
помадою,pɐmadəjʊ
старейшинам,stɐrʲejʂɨnəm
измельчавший,ɪzmʲɪlʲt͡ɕafʂɨj
фруктах,fruktəx
ложны,ɫoʐnɨ
отозвала,ɐtəzvɐɫa
бронебашни,brənʲɪbaʂnʲɪ
изувечат,ɪzʊvʲet͡ɕət
режьтесь,rʲeʂtʲɪsʲ
оброни,ɐbrɐnʲi
вентерей,vʲenʲtʲɪrʲɪj
озадачивши,ɐzɐdat͡ɕɪfʂɨ
судьям,sʊdʲjam
оплачивая,ɐpɫat͡ɕɪvəjə
впечатлишь,f⁽ʲ⁾pʲɪt͡ɕɪtlʲiʂ
нагнетать,nəɡnʲɪtatʲ
перемешиваниями,pʲɪrʲɪmʲeʂɨvənʲɪjəmʲɪ
удешевивший,ʊdʲɪʂɨvʲifʂɨj
нумераций,nʊmʲɪrat͡sɨj
королями,kərɐlʲæmʲɪ
генералом,ɡʲɪnʲɪraɫəm
клюшку,klʲuʂkʊ
проходом,prɐxodəm
перебегай,pʲɪrʲɪbʲeɡəj
тоскливый,tɐsklʲivɨj
чухаетесь,t͡ɕuxəjɪtʲɪsʲ
приманочного,prʲɪmanət͡ɕnəvə
мастурбировать,məstʊrbʲirəvətʲ
мартышка,mɐrtɨʂkə
проча,prot͡ɕə
движением,dvʲɪʐɛnʲɪjɪm
растворяющийся,rəstvɐrʲæjʉɕːɪjsʲə
топмачтовиком,topmət͡ɕtəvʲɪkom
бархатом,barxətəm
доносите,dənɐsʲitʲe
плевальницах,plʲɪvalʲnʲɪt͡səx
окай,okəj
уток,utək
обегаем,ɐbʲɪɡajɪm
кувыркалась,kʊvɨrkaɫəsʲ
заряжалке,zərʲɪʐaɫkʲe
массовкою,mɐsofkəjʊ
перепадав,pʲɪrʲɪpɐdaf
исписывает,ɪspʲisɨvəjɪt
продлениям,prɐdlʲenʲɪjəm
саботажам,səbɐtaʐəm
скуб,skup
угомонитесь,ʊɡəmɐnʲitʲɪsʲ
аналитиком,ɐnɐlʲitʲɪkəm
превышаешь,prʲɪvɨʂajɪʂ
толкнула,tɐɫknuɫə
мусульманам,mʊsʊlʲmanəm
тайкою,tajkəjʊ
разговаривал,rəzɡɐvarʲɪvəɫ
акустики,ɐkusʲtʲɪkʲɪ
примусом,prʲimʊsəm
наплывав,nəpɫɨvaf
оснащённостей,ɐsnɐɕːɵnːəsʲtʲɪj
побеге,pɐbʲeɡʲe
наложили,nəɫɐʐɨlʲɪ
примирюсь,prʲɪmʲɪrʲʉsʲ
развязываешься,rɐzvʲazɨvəjɪʂsʲə
имейся,ɪmʲejsʲə
выкроши,vɨkrəʂɨ
великолепно,vʲɪlʲɪkɐlʲepnə
манипулировавши,mənʲɪpʊlʲirəvəfʂɨ
оземь,ozʲɪmʲ
закутали,zɐkutəlʲɪ
полиомиелитах,polʲɪəmʲɪjɪlʲitəx
прерывались,prʲɪrɨvalʲɪsʲ
калита,kəlʲɪta
поедании,pəjɪdanʲɪɪ
высплюсь,vɨsplʲʉsʲ
посадах,pɐsadəx
